Car Make,Car Model,Car Trim,Car Year,Car Mileage,Car Price
BMW,M240,I,2019,23K mi,"$31,998*"
Ford,Mustang,GT Premium,2016,35K mi,"$27,998*"
Dodge,Challenger,GT Plus,2019,58K mi,"$22,998*"
Chevrolet,Camaro,LT,2018,44K mi,"$20,998*"
Dodge,Charger,SXT Plus,2018,70K mi,"$20,998*"
Chevrolet,Camaro,SS,2015,78K mi,"$23,998*"
Dodge,Challenger,SXT,2016,26K mi,"$21,998*"
Dodge,Challenger,SXT,2022,45K mi,"$22,998*"
Mazda,MX-5,Miata Club,2024,1K mi,"$30,998*"
Dodge,Challenger,R/T Plus,2019,70K mi,"$24,998*"
Chevrolet,Corvette,Stingray,2016,23K mi,"$44,998*"
Audi,S5,Premium Plus,2014,36K mi,"$26,998*"
Chevrolet,Corvette,Stingray 1LT,2024,1K mi,"$75,998*"
Genesis,G80,Sport,2019,86K mi,"$22,998*"
Nissan,370Z,Touring,2014,35K mi,"$25,998*"
Dodge,Charger,SXT,2023,47K mi,"$22,998*"
Dodge,Challenger,SXT,2022,48K mi,"$23,998*"
Acura,TLX,,2015,78K mi,"$16,998*"
Nissan,370Z,,2016,66K mi,"$22,998*"
BMW,230,I,2017,58K mi,"$18,998*"
Mazda,MX-5,Miata Grand Touring,2021,14K mi,"$27,998*"
Ford,Mustang,Ecoboost,2023,12K mi,"$25,998*"
Nissan,370Z,Sport Tech,2016,55K mi,"$25,998*"
Dodge,Challenger,SXT,2022,21K mi,"$25,998*"
Chevrolet,Corvette,Stingray Z51,2016,23K mi,"$46,998*"
Lexus,LC,500,2019,29K mi,"$69,998*"
Jaguar,XE,Premium,2018,61K mi,"$16,998*"
Porsche,Panamera,,2017,25K mi,"$46,998*"
Ford,Mustang,GT,2015,65K mi,"$24,998*"
Ford,Mustang,GT Premium,2021,58K mi,"$30,998*"
Ford,Mustang,Ecoboost Premium,2020,51K mi,"$19,998*"
Mazda,MX-5,Miata RF Grand Touring,2018,53K mi,"$20,998*"
Ford,Mustang,Dark Horse,2024,2K mi,"$59,998*"
Ford,Mustang,Ecoboost,2019,42K mi,"$21,998*"
Porsche,Panamera,,2019,50K mi,"$47,998*"
Ford,Mustang,GT,2018,71K mi,"$28,998*"
Chevrolet,Corvette,Stingray 1LT,2024,6K mi,"$69,998*"
Ford,Mustang,Ecoboost Premium,2020,52K mi,"$18,998*"
Ford,Mustang,GT Premium,2023,40K mi,"$36,998*"
Ford,Mustang,Ecoboost Premium,2022,69K mi,"$21,998*"
Ford,Mustang,Ecoboost Premium,2020,63K mi,"$19,998*"
Honda,CR-Z,EX,2014,93K mi,"$13,599*"
BMW,M4,,2020,25K mi,"$53,998*"
Dodge,Challenger,SXT,2016,101K mi,"$17,998*"
Nissan,370Z,Touring,2015,63K mi,"$22,998*"
Toyota,86,,2017,116K mi,"$18,998*"
